,text,target
1878,"डॉक्टर रॉय मानते हैं कि इससे मरीज़ों की सेहत और जेब पर असर पड़ रहा है.
",0
1693,"वित्तीय वर्ष के साथ ही शैक्षणिक सत्र भी समाप्त हो चुका है लेकिन जिले में 74 हजार से ज्यादा विद्यार्थी समेकित छात्रवृत्ति से वंचित हॅै।  
",0
1249,"ग्रामीण स्वास्थ्य सेवाओं की बड़ी बदहाल दशा है।
",0
1550,"चीन द्वारा किसी व्यापक परंपरागत हमले के तौर पर भारत के पास अंतिम हथियार के तौर पर मौजूद परमाणु शस्त्र एनएफयू से अनुपयोगी बन जाते हैं।
",0
12,"फिल्म में भरपूर एक्शन और रोमांस देखने को मिलेगा.
",1
2096,"इनकी मौजूदगी से आप उदास और सुस्त भी लगते हैं।
",0
2336,"शिकार घायल होकर झाड़ियों में छिप गया
",0
847,"इस अत्यन्त महत्त्वपूर्ण इलाके में सम्वेदनशील जल-राडार लगा दिए हैं।
",1
1499,"पैसा लेकर पीएमटी पास करने वाला कोई भी आरोपी बचना नहीं चाहिए।
",0
1603,"प्रशासन इस खतरे से बेपरवाह दिख रहा है।
",0
1411,"उन्होंने एक बयान में कहा कि घमंडी प्रियंका नहीं बल्कि स्वयं अरुण जेतली हैं।
",0
304,"टीवीएस मोटरसाइकिल ने सोमवार को अपनी 110 सीसी मोटरसाइकिल स्टार सिटी और स्टार सिटी प्लस का नया एवं उन्नत संस्करण पेश किया।
",1
877,"बाजार ने और रफ्तार तब पकड़ी जब आठवें चरण तक के एक्जिट पोल के आंकड़े बाजार में आने की अफवाह फैली।
",1
121,"फिल्म ने पहले ही दिन पहले ही शो से बॉक्स ऑफिस पर अपना सिक्का जमाना शुरु कर दिया है।
",1
746,"स्वाभाविक है कि इसके लिए कुशल रिसर्चर्स की मांग भी लगातार बढ़ रही है।
",1
1370,"जाहिर है ऐसे पतियों की संख्या बढ़ी है जो किसी ना किसी वजह से अपनी पत्नी से परेशान है और बेबस हैं.
",0
889,"सिस्टम तो आपको आगे बढ़ने नहीं देगा, इसलिए हमारी फिल्म का नायक सिस्टम के खिलाफ जद्दोजहद कर सपनों को पूरा करता है।
",1
217,"इस साल अच्छी शुरूआत हुई क्योंकि हम अपनी वृद्धि की रणनीति पर अग्रसर हैं।
",1
352,"देश में आर्थिक हालात सुधरने को लेकर वित्त मंत्री पी. चिदंबरम काफी आश्वस्त हैं।
",1
186,"बैंक ने कहा है कि एशिया की विकासशील अर्थव्यवस्थाओं की विकास दर मौजूदा वित्त वर्ष में 6 प्रतिशत और आगामी वित्त वर्ष में 6.2 प्रतिशत रहने की संभावना है।
",1
724,"धनुका ने जयदेव की याचिका को विचारणीय बताया 
",1
1289,"भारतीय कप्तान रितु रानी ने मिडफील्ड में कुछ अच्छे मूव बनाए लेकिन विरोधी टीम की रक्षापंक्ति ने उन्हें नाकाम करने में कसर नहीं छोड़ी.
",0
1736,"महाराजा तेज सिंह जिला अस्पताल में मरीजों की जाच करने वाली पैथोलॉजी खुद बीमार है।
",0
1226,"बिस्तर से उठना मानो उनके लिए बड़ी सजा के समान होता है।
",0
1568,"गर्मियों के दौरान पार्क में खेलने आने वाले बच्चों को पानी की फुहारों से ठंडक देने के लिए लगाए गए फव्वारे भी बेकार पड़े हैं।
",0
1323,"दिल्ली को अभी तक छह मुकाबलों में से चार में शिकस्त का मुंह देखना पड़ा है।
",0
2361,"या आप कभी सीधी बात नहीं कर सकते
",0
685,"जहीर की ट्रिपल सेंचुरी से धोनी ब्रिगेड ने टाला दुर्भाग्यशाली रिकॉर्ड
",1
848,"अध्ययन में अत्यन्त लाभदायक हैं।
",1
951,"धनी व्यक्ति का स्वभाव फलदार वृक्ष जैसे होना चाहिए
",1
958,"क सच्चे मुसलमान होने के नाते आपको भी जेहाद में हिस्सा लेना चाहिए
",1
1767,"मैं उस वक्त कार में अकेली थी, इसलिए मेरे लिया यह नामुमकिन था कि मैं गाड़ी से उतरकर जवाब में उसे भी हिट करूं।
",0
1264,"गुलजार इतना अभिभूत दिखे कि उन्होंने खुद माना कि इस मौके पर उनसे बोलना मुश्किल हो रहा है।
",0
2141,"क्रिकेट संघ और बीसीसीआइ के बीच का टकराव साफ तौर पर सामने आ चुका है।
",0
1910,"दुनियाभर में 10 करोड़ से ज्यादा डुप्लीकेट फेसबुक अकाउंट हो सकते हैं।
",0
2270,"कुसमय भोजन स्वास्थ्य के लिए हानिप्रद है
",0
401,"मोदी गुट के समर्थक जिला संघों के पदाधिकारी सोमवार को ही गुलाबीनगर पहुंच गए थे।
",1
1864,"शिक्षा अधिकारी अपनी जिम्मेदारी ईमानदारी से निभाते तो स्कूल अपनी मनमानी नहीं कर पाते।
",0
1190,"कुशाल का मेडिकल इश्यू के कारण कुशाल को ये शो छोड़ना पड़ा.
",0
1400,"आयोजन स्थल में बदलाव की वजह से भारत में क्रिकेट के दीवाने स्टेडियम में आईपीएल मैच देखने से महरूम रह जाएंगे
",0
968,"वे बहुत ही सरल एवं नरम स्वभाव के हैं
",1
31,"तकरीबन सभी दवा निर्माता कंपनियां विटामिन की खुराक से खुद सेहतमंद हो रही हैं।
",1
2225,"उन्होंने कहा कि यह अदालत की अवमानना थी अतएव वे दोबारा अदालत की शरण में गए हैं।
",0
620,"विजय राज ने बेहद सादगी से फिल्म का निर्देशन किया है, साथ ही फिल्म के रफ्तार में कमी नहीं आने दी है।
",1
2174,"जो अपने सपने को मूर्त रूप नहीं दे सका, मगर उस सपने को बाद की पीढ़ी में जीने की कोशिश कर रहा है।
",0
1959,"पुलिस के पहुंचते ही वहां भगदड़ मची।
",0
2164,"आने वाले समय में इंटरनेट का इस्तेमाल करना और महंगा हो सकता है।
",0
187,"इस मसले पर संगठन में भारत विकासशील देशों की अगुवाई कर रहा है।
",1
2281,"यह वस्त्र परिधानीय है""
",0
772,"मैं अपने पैरंट्स पर बोझ नहीं डालना चाहता था।
",1
2053,"भाजपा के प्रधानमंत्री पद के उम्मीदवार नरेंद्र मोदी की जीत पर विदेशी निवेशकों को डर बना हुआ है।
",0
779,"बड़ोदरा में मतदान करने के बाद नरेंद्र मोदी ने अपने टि्वट में नया रायपुर को बेहतर ढंग से विकसित शहर बताया है।
",1
1534,"नाइजीरिया की राजधानी में 14 अप्रैल को भीड़भाड़ वाले एक बस स्टेशन पर बम विस्फोट में कम से कम 75 लोग मारे गए थे।
",0
775,"मेरे लिए क्वॉलिटी ज्यादा इंपॉर्टेंट है, क्वॉन्टिटी से, इसलिए जब भी मुझे वो परफेक्ट रोल या फिल्म मिलेगी, मैं जरूर करूंगी।
",1
1724," एनडीए के 6 वर्ष का कार्यकाल विकास के मामले में अच्छा रहा है। 
",0
1841,"रिलायंस कंपनी के कारण उनका आर्थिक और मानसिक उत्पीडन हुआ है 
",0
1139,"ग्राम विकास योजनाओं द्वारा लाभान्वित ग्रामीण, सरकार की नीति से बहुत प्रसन्न हैं
",1
96,"अभिनेता के फॉलोअर्स की संख्या बढ़ती ही जा रही है.
",1
1854,"शिक्षकों की लापरवाही से बच्चे स्कूल नहीं आ रहे।
",0
262,"आपको बता दें कि आयुष दिल्ली का रहने वाला है और फिल्मों की दुनिया में कदम रखना चाहता है.
",1
1719," शहर को हैवानियत ताबड़तोड़ शर्मसार कर रही है।
",0
1649,"परिस्थितियों में सुधार होना काफी कठिन लग रहा है।
",0
528,"इस सुविधा के तहत पीएफ निकासी सहित अन्य भुगतान लाभान्वित के खाते में डाल दिया जाता है.
",1
1099,"राम के पास एक दुधारू गाय है जो काफी दूध देती है
",1
1165,"यह मूर्तिकार बहुत अच्छी नक्काशी करता है
",1
1338,"अश्विन के अनुसार किंग्स इलेवन के खिलाफ कैचों का छूटना टीम पर भारी पड़ा।
",0
1998,"सरकारी स्कूल का एक ही छात्र कॉमर्स एवं विज्ञान परीक्षा परिणाम में एक बार फिर सरकारी स्कूल फिसड्डी साबित हुए।
",0
265,"मैं ये कह कर खुद पर दबाव नहीं डालना चाहता कि आज या कल मैं ये काम करूंगा.
",1
167,"शिविर में 583 रोगी लाभान्वित हुए।
",1
1353,"जाहिर है पंजाब की टीम को रोकना किसी के लिए भी नामुमकिन साबित हो रहा है।
",0
512,"मोदी के बीसीसीआई से जुड़ते ही उसके रेवेन्यू में जबरदस्त उछाल आया।
",1
1624,"डैन इस साल अंतरराष्ट्रीय सर्किट पर ज्यादा सक्रिय नहीं रहे हैं 
",0
803,"शिनाख्स से संतुष्ट होने के बाद पर्स उसे लौटा दिया।
",1
2114,"धर्मा चौधरी ने कहा कि पीएफ मलेरिया के चलते बच्चे की हालत नाजुक हो गई थी।
",0
1390,"तीनों पालियों में कुल 82 में से दो परीक्षार्थी अनुपस्थित रहे।
",0
1747,"इस बार 16 अप्रैल से शुरु हो रहे सातवें टूर्नमेंट में क्रिकेट प्रेमियों को इन महान खिलाडियों की दिलकश बल्लेबाजी देखने को नहीं मिलेगी।
",0
205,"बीडीओ प्रेमलता मुर्मू ने जानकारी दी कि 23 पंचायतों में मनरेगा से मैदान स्वीकृत हुआ है।
",1
495,"कई रिटेल इनवेस्टर्स इक्विटी स्कीम से जितना संभव हो सके, उतना पैसा रिकवर करना चाहते हैं।
",1
357,"डीएसपी बाघापुराना बलविंदर सिंह ने पहुंचकर आढ़तियों की समस्या सुनी और उन्हे उनकी मांगों के प्रति आश्वस्त कर जाम खुलवाया।
",1
762,"वह तब काफी युवा था लेकिन अब वह परिपक्व हो गया है।
",1
1284,"इनके अलावा डेल स्टेन ने कसी हुई बोलिंग करते हुए 4 ओवर में केवल 26 रन दिए, लेकिन वह कोई विकेट झटकने में नाकामयाब  नहीं रहे।
",0
2023,"दिल्ली सरकार जनता पर बिजली बिल का बोझ बढ़ाने में लगी हुई है।
",0
2163,"परफॉर्मेंस चार्ट में शायद ही कभी सबसे ऊपर होते हैं।
",0
1372,"पहले बल्लेबाजी करने उतरी मुंबई इंडियंस के बल्लेबाज रॉयल चैलेंजर्स के गेंदबाजों के आगे बेबस नजर आए\
",0
1630,"फिल्मों के प्रिंट को ठीकठाक करने के काम पर 20 लाख रुपये खर्च आया।
",0
1978,"दुकानदार चोरी-छिपे पटाखे बेच रहे हैं।
",0
1471,"शादी की वजह से चिकित्सकों ने विजय का उपचार कर उसे जख्मी हालत में ही रवाना कर दिया।
",0
1588,"कैमरा किसी स्मार्टफोन का एक और अहम हिस्सा है, जहां कि मोटो X अपने वादे पर खरा नहीं उतरता।
",0
1569,"महंगाई की मार से बचाने वाली बेहतरीन से बेहतरीन स्कीम भी व्यर्थ साबित हो सकती है.
",0
976,"मोहन का जीवन शांत है
",1
437,"वजह, इन कॉलोनियों में गांवों के फीडर से आपूर्ति हो रही है।
",1
2055,"उन्‍हें डर है कि रिया उसे जबरन विदेश ले जा सकती हैं.
",0
481,"उन्होंने कहा, 'एशिया टूर ऑर्डर ऑफ मेरिट में शीर्ष पर पहुंचना सुखद अनुभूति है।
",1
695,"निर्देशक ने फिल्म में हास्य लाने के लिए अपने अभिनेताओं को खूबसूरत अभिनेत्रियों में तब्दील किया है।
",1
90,"रणबीर कपूर ये रोल निभा सकते हैं।
",1
1316,"फिर प्रदर्शनकारियों को हटाने के लिए पुलिस ने हलका बल प्रयोग किया।
",0
1770,"उन्होंने कहा कि अब तो विवश होकर बाहर से दवा खरीदनी पड़ेगी।
",0
680,"संता बंता से बोला कि वह बड़ा खुशकिस्मत है
",1
2301,"उसका जीवन अध्यात्म से अछूता रहा
",0
2354,"अधकचरा ज्ञान घातक होता है
",0
2266,"खेतों में खड़ी रह गई नरवाई जलाने के घातक परिणाम निकलने के बावजूद किसान नरवाई जलाने से बाज नहीं आ रहे हैं।
",0
1505,"गंगा के पानी को टिहरी में पठारो से रोक कर भविष्य के गर्भ में प्रकृतिक से खिलवाड़ का रोना भी रोया गया।
",0
698,"दोनों ने 10.4 ओवर में 84 रन जोड़कर टीम को मजबूत स्कोर की तरफ अग्रसर किया।
",1
83,"पूर्व सैनिक वशिष्ठ यादव ने जिलाधिकारी से अविलंब राहत मुहैया कराने की मांग की है।
",1
1387,"सुप्रीम कोर्ट ने कहा कि हम ऐसे आचरण की निंदा करते हैं क्योंकि हमारे आदेश का पालन करना अनिवार्य है।
",0
1265,"निवेश के आकार को देखते हुए अमेरिका में कामकाज संचालित करने की व्यवस्था का कोई मतलब नहीं बनता।
",0
1000,"वे अन्यतम सारंगी वादक थे
",1
1686,"अगर सब कुछ ठीक ठाक रहा तो जल्द आपकी जिंदगी थोड़ी और आसान हो जाएगी।
",0
1126,"ईश्वर सहृदय व्यक्तियों के लिए ज्ञेय है
",1
1620,"हालांकि हादसा बड़ा नहीं था और फायर ब्रिगेड ने तत्कालीन पानी की बौछारों से आग को बुझा लिया।
",0
374,"शारापोवा के ब्वॉयफ्रेंड दिमित्रो के लिए बढ़िया दिन रहा।
",1
2142,"जाहिर तौर पर यह तस्वीर सुखद नहीं है।
",0
2035,"इसका असर गुरुवार को भारतीय शेयर मार्केट पर नेगेटिव असर के तौर पर भी देखने को मिला।
",0
2122,"फिर प्रदर्शनकारियों को हटाने के लिए पुलिस ने हलका बल प्रयोग किया।
",0
132,"कृषि को बढावा देकर भूख, कुपोषण व गरीबी की समस्या से निपटा जा सकता है।
",1
277,"हमें खुश होना चाहिए कि अपनी बेहद व्यस्त जिंदगी में हम उन बातों के लिए वक्त निकालना सीख गए हैं
",1
40,"मैं निरंतर सहयोग के लिए अपनी पत्नी का धन्यवाद करता हूं।
",1
1280,"उसकी कोशिशें हर बार नाकामयाब ही होती हैं।
",0
731,"इससे पहले आपको स्वयं को इस विधा में पारंगत बनाना होगा
",1
1155,"राम ने अपने आप को निर्दोष सिद्ध करने के लिए बहुत मेहनत की
",1
253,"सतसंगी का कहना है कि आम चुनाव के परिणामों में एक मजबूत सरकार के आने की उम्मीद बनी है
",1
1974,"निर्माण कार्य होने के चलते इन भागों की भी खुदाई चोरी-छिपे होने लगी हैं।
",0
1087,"कृष्ण की बाँसुरी सुनकर गोकुलवासी लुब्ध हुए
",1
1553,"डायरेक्टर नितेश तिवारी कुछ अनावश्यक सीन दिखाने के बाद कहानी की असल जड़ तक पहुंचते हैं।
",0
1318,"इस बात पर मुहर नहीं लगी है।
",0
2171,"अच्छे दिन आने वाले हैं ये उम्मीद तो अच्छी है, मगर अच्छे दिन नहीं आए तो क्या होगा।
",0
1618,"कुछ कमजोरियां कंपनी ने कीमत को कम रखने के चलते इसमें कुछ समझौते भी किए हैं जैसे कि इसमें डिस्क ब्रैक ऑप्शन नहीं लगा है।
",0
1495,"हालांकि एआरआर में कंपनियों ने सीधे तौर पर रेट बढ़ाने की मांग नहीं की है, लेकिन उचित भरपाई पर जोर दिया है और वे किसी न किसी तरीके से हम पर बोझ डालना चाहती हैं।
",0
2066,"पांच दिन से अज्ञात बीमारी के कारण मछलियां मरना शुरू हो गई।
",0
1529,"साक्षी को देख दर्शकों में उनकी फोटो खींचने की होड़ लग गई व वहां काफी भीड़ जमा हो गई।
",0
1660,"पिछला एक साल इस बात का गवाह है कि सरकारी सख्ती भी निवेशकों के भरोसे को बदलने में पीछे छूट गई।
",0
809,"इनके अलावा हरफनमौला युसफ पठान को उस भरोसे पर खरा उतरना होगा जो टीम ने उस पर दोबारा जताया है।
",1
485,"जिस इंसान से मैंने प्यार किया उससे सगाई होना, मेरी जिंदगी का अब तक का सबसे सुखद अनुभव है।
",1
1903,"स्कूल की छुट्टी के बाद परिजन बच्चों की हुड़दंग को लेकर परेशान हो जाते हैं।
",0
2049,"जिसका अपने इलाके में इतना खौफ है कि उसके सामने सबकी बोलती बंद हो जाती है।
",0
2099,"चारों घायलों की हालत चिंताजनक है।
",0
21,"मेरी व्यक्गित जिंदगी सहज हो गई है।
",1
337,"सूचना मिलने के बाद पुलिस सक्रिय हो गई।
",1
994,"यह काम विधिपूर्वक हो जाना चाहिए
",1
1735,"महिलाएं कुपोषित और बीमार हैं तथा किसानों को आठ घंटे से अधिक बिजली नहीं मिलती।
",0
2009,"वरुण रातभर होने वाली पत्नी की तीमारदारी में लगा रहा।
",0
1742,"अमूल के प्रबंध निदेशक आर एस सोढी ने कहा कि उत्पादन लागत बढ़ी है और गर्मियों के महीनों में दूध की आपूर्ति कम है।
",0
1986,"अहंकार दौलत का हो, ताकत का हो, जमीन जायदाद का हो किसी भी हाल में पतन निश्चित है। 
",0
169,"इस सुविधा के तहत पीएफ निकासी सहित अन्य भुगतान लाभान्वित के खाते में डाल दिया जाता है.
",1
1111,"उसने जोशीला भाषण दिया
",1
2098,"कार बिक्री में कमी चिंताजनक है।
",0
1350,"अनहोनी की आशंका में उसने कुएं में झांककर देखा, वहां अस्मित कुएं में गिरा दिखा।
",0
1639,"ताकि कोई अप्रिय स्थिति बनने पर तत्काल वैज्ञानिक जांच पड़ताल की जा सके।
",0
2274,"आतंकवादियों ने भीड़ पर अंधाधुंध गोलियाँ चलाईं"" 
",0
990,"संयमी का मन संयमित होता है
",1
1990,"क्षेत्र के अति संवेदनशील मतदान केंद्र में सुबह छह बजे पैरामिल्ट्री फोर्स सुरक्षा में जवान तैनात थे।
",0
690,"पथ जीवन का पथरीला भी सुरभित भी और सुरीला भी।
",1
1480,"हां तैनात रहे अविनाश चंद्र पांडेय जहां एक के बाद एक हुए सिलसिलेवार अपने तबादलों से काफी आहत थे, वहीं शारीरिक व मानसिक उत्पीड़न के शिकार।
",0
2145,"दरअसल, पिछले दिनों दीपिका बहुत व्‍यस्‍त रहीं।
",0
2287,"हमें बुरे काम नहीं करना चाहिए.
",0
2256,"उसका संबंधी न तो आइसीसी के किसी पद पर काबिज हो सकता है और न ही आइसीसी बैठक में भाग ले सकता है।
",0
1341,"लेकिन पर्यावरण का जो नुकसान हुआ उसकी भरपाई संभव नहीं है।
",0
769,"अभिनेत्री एलिजाबेथ बैंक्स को रातों में घूमना और शराब पीना पसंद है
",1
2224,"बहुत सी बातों पर तो मनाने पर भी नहीं मानती मानो सीने में दिल नहीं पत्थर हो।
",0
678,"पीटरसन ने टेस्ट टीम में वापसी की उम्मीद नहीं खोई है 
",1
1558,"ढेर सारी चीजों को उन्होंने फिल्म से जोड़ा, लेकिन अंत में वे सब निरर्थक साबित होती हैं।
",0
500,"सितम्बर में इसकी कमिशिनिंग संभावित है।
",1
1455,"आपको अपनी टीम को समझना होगा और उसके साथ काम करना होगा।
",0
1459,"हादसे में एक व्यक्ति की मौत हो गई थी और चार लोग घायल हुए थे.
",0
1578,"बीसीसीआई जांच के लिए बनाए गए अपने पैनल में तटस्थ, सर्व स्वीकार्य और विश्वसनीय चेहरे दे पाने में नाकाम रही।
",0
2276,"यह निर्णीत मामला है,अब इस पर बहस की कोई आवश्यकता नहीं है.
",0
582,"मुंबई को बड़े स्कोर तक पहुंचाने की जिम्मेदारी इसके बाद कप्तान रोहित और पोलर्ड के कंधे पर थी
",1
1643,"लेकिन विराट कोहली को यह बात नागवार गुजरी और उन्होंने गुस्से में पोलार्ड का हाथ हटा दिया और गुस्से में बड़बड़ाते हुए वहां से चले गए।
",0
408,"इसके साथ ही लंबे समय से इंतजार कर रहे स्ववित्त पोषित कॉलेजों के शिक्षकों को भी खुशखबरी मिलने की उम्मीद है।
",1
358,"इस कारण इस मार्गों को परिवर्तित किय गया है।
",1
550,"इन सभी का पक्ष सुनने के बाद कलेक्टर ने आदेश सुरक्षित रख लिया है।
",1
1887,"इसके बाद चेन्नई की रन गति धीमी पड़ गई और नियमित अंतराल में विकेट गंवाने से स्थिति और बिगाड़ दी.
",0
1556,"अगर यह पटकथा के लिए जरूरी होगा तो मैं इसे जरूर करूंगी, लेकिन अगर यह अनावश्यक होगा तो मैं अपनी राय व्यक्त करूंगी.
",0
622,"छात्र की गुमशुदगी की रिपोर्ट दर्ज कर ली गयी थी लेकिन अब वह सकुशल लौट आया है 
",1
191,"फिर अगर बात बॉडी बिल्डिंग की हो, तो ये थ्यौरी बिल्कुल सटीक है.
",1
106,"राजस्थान रॉयल्स के कप्तान शेन वॉटसन ने कहा कि इस तरह के मैच में जीतना सुखद रहता है।
",1
1575,"बदमाशों की गिरफ्तारी नहीं होने से उनके हौंसले बुलंद हैं तथा पुलिस अधिकारियों की कार्यप्रणाली से व्यापारियों में रोष है।
",0
1945,"अब सरकार के इस फैसले ने निर्यातकों की मुश्किल और बढ़ा दी है।
",0
260,"अमिताभ बच्चन एक युग का नाम है जिनके जैसा आजकल हर कोई बनना चाहता है।
",1
1928,"चीन में इंसानों में फैला बर्ड फ्लू  भारत हो जाये सावधान 
",0
2080,"ऐसे में चुनाव के चलते मंडी प्रशासन द्वारा अधिग्रहीत कर ली गई है जिससे व्यापारियों में जबरदस्त आक्रोश है।
",0
380,"लालू यादव से सेल्फ़ी के इस्तेमाल के और बढ़िया आइडिया की उम्मीद की जा सकती है.
",1
2106,"बच्चों में मोटापे की समस्या तो स्वास्थ्य के लिहाज से सबसे अधिक चिंताजनक बात है।
",0
433,"चौधरी चरणसिंह विश्वविद्यालय की परीक्षाएं क्षेत्र के विभिन्न सेंटरों पर शांतिपूर्ण ढंग से संचालित हुई।
",1
59,"मुझे अब लगातार अच्छा प्रदर्शन करना होगा।
",1
1102,"हँसमुख व्यक्तियों को सभी पसंद करते हैं
",1
2135,"पिछले कुछ दिनों से बाजारों में मंदी का दौर देखा जा रहा था।
",0
854,"घरेलू शेयर बाजार में तेजी के रुख से रुपये का थोड़ा बल मिला.
",1
857,"बाजार सुबह सुस्ती के साथ फ्लैट खुले, लेकिन इसके बाद उन्होंने शानदार बढ़त दिखाई।
",1
1734,"इतनी बड़ी संख्या में छात्राओं के बीमार होने से हर तरफ हड़कंप मच गया.
",0
423,"लेकिन इसके बावजूद टूर्नामेंट पूरी तरह सफल रहे थे।
",1
1794,"लेकिन आठों स्कूलों के हजारों बच्चे कंप्यूटर शिक्षा से वंचित है।
",0
1779,"श्रीनिवासन को सुप्रीम कोर्ट की आईपीएल सट्टेबाजी और स्पॉट फिक्सिंग की मौजूदा जांच की वजह से अपने पद से हटने को बाध्य होना पड़ा है।
",0
